u,g,r,i,z,redshift
16.51495,14.68004,13.84068,13.41985,13.09006,0.026777193
20.2442,18.54631,17.71285,17.32894,17.01848,0.10308938
20.64693,18.85924,17.88806,17.32035,16.91065,0.12864144
18.50924,17.32571,16.77444,16.43353,16.19321,0.07724046
20.68762,18.69042,17.54831,17.0437,16.70315,0.16050963
18.78617,17.70465,17.31079,17.11246,16.92673,0.045343127
20.98468,19.00677,17.67854,17.14769,16.75126,0.20196214
19.18487,17.60098,16.72928,16.26665,15.89405,0.098134816
20.4821,18.4145,17.23339,16.71624,16.32266,0.16820425
19.35304,17.87251,17.19807,16.83035,16.58211,0.09444052
19.35561,18.20332,17.67729,17.36187,17.13304,0.08221288
19.75838,17.70854,16.63459,16.10787,15.71609,0.12713148
20.74209,18.72611,17.6865,17.21128,16.82924,0.13793497
19.2217,18.06295,17.69578,17.46941,17.38278,0.052426964
18.97236,17.89425,17.5362,17.27085,17.18093,0.07192435
20.82133,18.85485,17.71341,17.27009,16.91239,0.15200521
18.50312,16.87881,15.94719,15.46375,15.13734,0.06321358
19.33486,17.67542,16.89369,16.48659,16.16619,0.087389596
19.86141,18.63847,17.65233,17.23443,16.92937,0.17142256
17.25598,15.34355,14.46744,14.04882,13.71744,0.04338183
19.24054,17.35766,16.36876,15.90759,15.52483,0.09276723
19.20624,17.44996,16.64347,16.22953,15.93859,0.07140838
20.8754,18.79377,17.47258,16.95316,16.62821,0.19509049
20.33391,18.64196,17.7054,17.31525,16.99311,0.110755004
19.53719,18.06102,17.3438,16.93732,16.59269,0.09961545
19.21019,18.10165,17.5407,17.17918,16.99156,0.098294295
20.66269,18.94913,17.29378,16.69401,16.30351,0.25436965
19.30663,17.39883,16.53238,16.11817,15.81592,0.06692409
21.45173,19.18763,18.01925,17.53858,17.11303,0.16242486
19.89418,18.33508,17.62676,17.25942,17.02793,0.09756905
20.79109,18.97979,17.73234,17.2041,16.81429,0.18599151
19.74969,17.77191,16.77918,16.30558,15.94104,0.1105501
18.6911,17.54543,17.12123,16.8558,16.68102,0.062429525
18.79316,16.81199,15.86693,15.39753,15.02125,0.07505188
20.09533,18.49597,17.51418,17.07433,16.81813,0.13949095
19.3199,18.1329,17.50376,17.08923,16.86252,0.09878166
21.18181,18.94498,17.78862,17.24562,16.88286,0.16675222
20.05157,18.7542,17.91021,17.50514,17.19518,0.14622839
20.27347,18.76578,17.53854,16.976,16.56344,0.18084872
19.54054,17.50099,16.46423,16.00618,15.59555,0.100412086
20.90621,18.86424,17.64458,17.09897,16.7734,0.18511611
20.31271,18.18254,17.01457,16.55144,16.1935,0.15395494
18.09078,16.64955,15.93659,15.53804,15.27883,0.051955275
19.44355,18.09311,17.38603,17.01045,16.76691,0.096205235
20.58963,18.67502,17.75086,17.32862,16.99693,0.10341255
21.11161,19.05379,17.63812,17.09649,16.71943,0.22626816
20.59583,18.81058,17.74519,17.25911,16.89783,0.14499207
19.38921,17.54233,16.66663,16.17884,15.81613,0.08447045
19.73282,18.19951,17.27473,16.8008,16.45704,0.13156818
20.24951,18.45148,17.53714,17.11854,16.80727,0.10763471
20.69504,18.72737,17.69453,17.22781,16.82158,0.13555372
19.21247,18.0579,17.4274,17.0599,16.84374,0.10638237
19.10467,17.20023,16.22186,15.81307,15.47886,0.08329772
20.23113,18.24438,17.27013,16.82345,16.48525,0.112634495
19.13215,17.18261,16.08934,15.63664,15.29217,0.09780464
19.26184,17.83714,17.04448,16.63,16.30685,0.09953924
17.60112,15.96491,15.21676,14.81394,14.50492,0.04581292
21.61539,18.63251,17.57253,17.19344,16.6822,0.14023943
20.4831,18.40095,17.40248,16.96787,16.57928,0.11556385
18.12814,16.82386,16.23981,15.92712,15.71191,0.056643523
20.22004,17.98894,16.83191,16.35079,15.98099,0.14884672
18.72656,17.71161,17.31208,16.90954,16.71759,0.07700057
20.20866,18.45507,17.58883,17.1657,16.82567,0.091277726
18.13133,16.66191,15.8558,15.45179,15.17294,0.05120338
19.67124,17.74487,16.81719,16.38809,15.99902,0.09911644
18.29859,16.84864,16.13811,15.74096,15.49594,0.06706315
20.64154,18.76593,17.73578,17.30084,16.90088,0.1326195
19.08208,17.15473,16.19555,15.77251,15.38393,0.08833307
18.2288,16.21622,15.37125,14.92138,14.64013,0.06525019
19.23742,18.01113,17.3642,17.04022,16.77838,0.10233885
21.22445,19.38367,17.88881,17.29564,16.90961,0.23319305
19.62646,17.61381,16.67797,16.23292,15.88153,0.0981707
20.15331,18.40655,17.3315,16.86148,16.47088,0.14036769
20.78348,18.4699,17.53783,17.0954,16.75538,0.12122883
20.17275,18.11537,17.12383,16.60835,16.23831,0.11848487
21.3475,19.09864,17.66409,17.11151,16.74923,0.23657858
19.83477,18.4947,17.8593,17.42634,17.20688,0.09758557
20.36696,18.35656,17.32373,16.78198,16.32513,0.14275092
19.44364,17.95182,17.07378,16.64507,16.29933,0.11373676
19.18405,17.8499,17.14347,16.74406,16.45508,0.1098788
19.47017,18.04218,17.27636,16.8149,16.51276,0.11039665
18.54651,16.99753,16.27993,15.82317,15.48447,0.0656257
20.38617,18.50086,17.57922,17.11708,16.74595,0.10887881
19.78613,18.47175,17.88079,17.54472,17.3,0.09402893
18.40531,16.77556,15.92703,15.45534,15.14688,0.057965204
18.33653,16.95434,16.41395,16.11969,16.04341,0.053278107
19.80088,18.61055,17.86669,17.49586,17.21856,0.14176615
21.15633,19.09205,17.61893,17.06796,16.69206,0.23616055
18.75274,17.10777,16.23997,15.74715,15.40306,0.07671316
20.00411,18.25054,17.06931,16.58034,16.24493,0.16055316
19.45155,17.84165,17.0104,16.53152,16.18268,0.09762777
21.02952,18.54383,17.53201,17.03101,16.71414,0.13384184
19.98962,18.23887,17.38469,16.92177,16.61797,0.09962495
16.14821,14.73162,14.03915,13.64454,13.35743,0.025091777
20.05365,18.76928,17.81855,17.34405,17.02166,0.16793774
20.4445,18.81604,17.56975,17.08572,16.7152,0.17868505
19.79795,17.63674,16.84161,16.39587,15.99151,0.08766778
19.96164,18.05044,17.11124,16.58209,16.1591,0.11321477
20.06374,18.64052,17.41334,16.87419,16.47233,0.1742427
19.9316,18.55849,17.74009,17.29672,16.97792,0.13209103
17.32599,15.29915,14.30365,13.83097,13.47261,0.043791514
20.65943,18.72459,17.7465,17.32474,16.95882,0.11285967
19.94506,18.11416,16.97038,16.40474,15.97829,0.16149324
20.63491,19.32363,18.06351,17.49275,17.10492,0.14172608
20.21834,18.66197,17.53713,16.99674,16.63228,0.18431064
20.39535,19.0323,17.89227,17.34058,17.04649,0.17723642
20.71988,18.62913,17.4836,17.01435,16.61664,0.15910302
18.49733,17.34534,16.98665,16.75275,16.70508,0.04238437
18.64693,17.28504,16.66968,16.28589,16.03115,0.08086661
23.1965,21.39062,20.04524,20.23146,19.06655,0.13008863
20.84892,18.76967,17.75477,17.3158,16.97829,0.12770559
18.63983,17.71,17.26501,16.96116,16.81841,0.06741056
18.87643,17.14368,16.26578,15.85624,15.55828,0.07200801
19.0224,17.11465,16.20517,15.80875,15.4927,0.07832189
20.30431,18.52069,17.58064,17.1321,16.86557,0.107242994
20.40558,18.68103,17.85511,17.52175,17.23737,0.093080476
17.9757,16.24251,15.45194,15.05948,14.76495,0.052098706
18.03094,16.82397,16.34461,16.09453,15.91385,0.046667963
18.54556,17.00999,16.29244,15.91122,15.60422,0.06749627
19.56141,17.70689,16.89859,16.5445,16.27681,0.081715286
19.79897,18.1448,17.27697,16.77363,16.42785,0.10441385
16.95957,15.59975,15.16637,14.95283,14.89832,0.03716155
20.81922,18.9328,17.49017,16.93644,16.63351,0.2198243
20.08367,18.30402,17.4339,17.05608,16.76944,0.10613459
19.28784,18.32993,17.84328,17.48551,17.37166,0.10970994
17.52106,15.94459,15.26176,14.89747,14.69496,0.04769354
18.62055,17.29226,16.64891,16.28254,16.05217,0.08279507
19.44486,17.9895,17.57068,17.30575,17.22424,0.06022429
19.56524,18.43922,17.57266,17.12611,16.87908,0.18027975
18.88947,17.49317,16.92829,16.64268,16.46235,0.06412837
17.74994,16.69774,16.42271,16.2733,16.17761,0.03461864
19.45495,17.6763,16.82211,16.4195,16.09468,0.087046
18.59995,16.71636,15.79391,15.33639,14.99861,0.066224076
20.30728,18.61515,17.58517,17.1291,16.84978,0.1369907
19.58812,18.41308,17.6232,17.17847,16.81518,0.16103844
19.81025,18.51438,17.48198,16.93831,16.56666,0.16901523
19.03199,17.83894,17.25942,16.97039,16.7194,0.07307392
20.87846,18.92733,17.60889,17.09934,16.6757,0.20207189
18.98323,17.82311,17.38573,17.11357,16.88637,0.060060285
18.93294,17.76008,17.04174,16.6246,16.38229,0.1069096
20.21673,18.33681,17.315,16.84305,16.48724,0.11893573
19.27044,17.99291,17.22668,16.84416,16.56261,0.12086419
21.18684,19.10738,17.66902,17.1236,16.73386,0.23554066
21.25741,18.89953,17.52005,16.98937,16.633,0.20240833
18.92937,17.69761,16.97327,16.60975,16.3396,0.09304279
19.64424,17.50417,16.32442,15.85332,15.47606,0.13557827
19.69683,18.06341,17.23392,16.76157,16.4658,0.09215632
21.09125,18.80035,17.60527,17.14198,16.80253,0.1683815
19.59484,18.22985,17.434,17.04627,16.78148,0.11148644
19.04386,17.01526,16.06948,15.6316,15.32944,0.08645109
17.77188,16.62769,16.19355,15.91112,15.71404,0.0452113
20.89109,18.46967,17.20872,16.72569,16.34681,0.1773702
20.39461,18.43513,17.52825,17.12142,16.79079,0.10631509
20.70038,18.71223,17.71856,17.29936,16.98323,0.11618409
18.62149,17.32956,16.7822,16.45177,16.22465,0.08172856
18.94757,17.68773,17.12999,16.86047,16.7183,0.07492853
18.87298,17.69631,17.28562,17.02832,16.87172,0.056449026
19.1883,18.1137,17.83437,17.66224,17.74471,0.044389404
18.28932,16.87189,16.17304,15.79471,15.55693,0.06618366
19.30176,18.10175,17.58668,17.29743,17.1849,0.07038778
20.31883,18.20013,17.18131,16.77318,16.40108,0.11948169
18.54414,17.65321,17.45348,17.25247,17.15438,0.041417036
19.25714,17.79718,16.97061,16.54529,16.31515,0.10143771
17.93786,16.54554,15.86971,15.44248,15.18949,0.04968652
20.31328,18.14727,16.85572,16.36182,16.01529,0.17082982
19.68423,17.93233,17.10566,16.73836,16.44258,0.0687822
19.2135,17.44519,16.63916,16.26712,15.9764,0.068492085
20.74471,18.87519,17.67221,17.18071,16.84762,0.17885378
19.66988,18.46437,17.72659,17.35257,17.12701,0.13433586
19.26262,17.81735,16.94689,16.51649,16.16748,0.109895594
19.62844,17.70895,16.9435,16.53636,16.26261,0.08088908
19.14834,18.06492,17.58352,17.25115,17.07642,0.09136961
18.98965,17.75999,17.18652,16.84929,16.64335,0.08209117
19.88384,18.12225,17.1709,16.71486,16.34808,0.104999065
20.03204,18.56422,17.85092,17.42075,17.22712,0.10262126
20.67753,18.95808,17.80435,17.24428,16.88435,0.16854313
20.3545,18.78267,17.84941,17.4282,17.05089,0.1458921
17.9085,16.50038,15.76931,15.37518,15.07956,0.04719288
20.07043,18.1584,17.15366,16.71038,16.42521,0.11706056
19.18534,18.02554,17.57249,17.29786,17.12899,0.067245945
19.60143,17.88897,17.00813,16.57738,16.27159,0.09220873
19.6242,17.84921,16.85881,16.35353,15.98912,0.10419689
20.08873,18.17356,17.10824,16.65778,16.2729,0.13241607
19.97801,18.3807,17.76386,17.38102,17.2121,0.06944756
20.04839,18.50443,17.69261,17.31174,17.06837,0.110035904
18.75845,16.68164,15.71146,15.25035,14.9102,0.078624964
20.18856,18.79291,17.80505,17.35157,17.05105,0.16483586
20.46871,18.69309,17.69205,17.2954,16.98571,0.12493882
19.28599,18.12194,17.48844,17.07589,16.80383,0.10761282
17.57317,16.10772,15.54476,15.21338,15.02131,0.04253294
18.24963,17.119,16.47432,16.06476,15.78827,0.078486264
20.36086,18.25844,17.10503,16.60705,16.22079,0.15533441
20.09726,18.53762,17.88025,17.5566,17.36086,0.07930453
19.46126,17.58388,16.68697,16.25038,15.92508,0.08352728
19.67218,18.46485,17.81559,17.3854,17.11184,0.12660769
19.71222,18.33545,17.61478,17.2173,16.88485,0.10777355
19.79828,18.47026,17.75802,17.32846,17.05621,0.11640214
20.47503,18.57915,17.35504,16.88778,16.56071,0.16520365
18.66146,17.47565,16.84333,16.44699,16.24354,0.08400775
20.08722,18.43863,17.52299,17.03347,16.6548,0.12760626
20.56381,18.40769,17.27082,16.81345,16.45742,0.14928266
20.39381,18.7143,17.63628,17.12491,16.76461,0.15558305
19.40395,18.18443,17.55559,17.21634,16.99998,0.098657064
20.28305,18.59871,17.67096,17.24376,17.00937,0.12323945
20.83974,18.7115,17.52459,17.05858,16.70082,0.17001392
20.10986,18.08622,17.01829,16.55608,16.20982,0.13729616
20.47673,18.941,17.73278,17.2452,16.90206,0.17738098
20.92816,18.8785,17.62953,17.15517,16.83868,0.19331603
19.41644,18.27863,17.70307,17.28959,17.11164,0.12258386
19.82318,18.25813,17.32682,16.88,16.55748,0.116366036
18.98452,17.66697,17.02953,16.67021,16.41543,0.08684495
19.19182,17.70741,16.90183,16.51159,16.18886,0.10372976
19.57121,17.73803,16.72488,16.28186,15.96036,0.1077543
19.62037,17.81947,16.81704,16.32511,15.97328,0.108759426
20.46109,18.32956,17.28514,16.7929,16.38782,0.1280881
17.97379,15.98768,15.10093,14.69867,14.38552,0.056704108
20.65982,18.48889,17.37795,16.95252,16.67057,0.13830337
20.45424,18.62276,17.62848,17.16425,16.82414,0.123414785
19.4263,18.34337,17.68844,17.27519,17.09794,0.13928317
18.71805,17.24073,16.57443,16.20755,15.94477,0.08276679
19.65734,18.042,17.18496,16.7773,16.45486,0.09365136
20.61372,18.58047,17.56387,17.1206,16.77075,0.1308909
18.41749,16.55471,15.73954,15.34165,15.039,0.05895666
20.67118,18.65786,17.3735,16.88021,16.48836,0.1780719
18.69707,17.20104,16.3674,15.96966,15.64917,0.08217412
19.79272,17.80754,16.77736,16.33507,15.9444,0.11205933
19.75397,17.64768,16.69906,16.21533,15.82509,0.10122983
19.32759,17.28147,16.38131,15.95881,15.60616,0.08013865
20.01177,18.75682,17.68905,17.31479,16.95441,0.18833502
20.89591,18.63808,17.42472,16.97384,16.67846,0.166499
19.69047,18.39518,17.71675,17.23861,16.97608,0.12802513
19.81695,17.88786,17.00639,16.59289,16.28282,0.0858128
20.93888,18.7026,17.64204,17.32273,16.83641,0.121826924
20.82401,18.69303,17.58344,17.12064,16.79,0.15313712
21.21574,18.60432,17.19675,16.66496,16.33368,0.19338569
20.32637,18.38432,17.45436,17.03486,16.74273,0.10997599
20.9356,18.83142,17.49781,16.94842,16.6068,0.2019992
18.97869,17.14655,16.35993,15.96905,15.64163,0.07237626
18.52272,16.82884,16.11154,15.75299,15.48949,0.05874216
20.65758,18.50349,17.21248,16.71104,16.34765,0.19232121
19.7493,18.25449,17.47483,17.08175,16.75138,0.103969604
18.34229,17.15972,16.64058,16.30881,16.14249,0.044913042
19.82375,17.90935,16.85066,16.35996,16.06167,0.1169271
18.68338,17.15848,16.32613,15.90244,15.59429,0.07637131
20.21097,18.79415,17.92213,17.43883,17.07574,0.1456754
20.31452,18.34999,17.25713,16.77682,16.42956,0.13574715
17.36385,16.22386,15.73074,15.47031,15.29827,0.036635548
20.24525,18.58239,17.42853,16.93769,16.66248,0.16214448
18.80273,16.75877,15.76378,15.33763,14.96595,0.08104764
18.65571,16.9315,16.12222,15.74337,15.4689,0.05373839
19.42779,17.84766,16.94659,16.50694,16.19605,0.11966918
16.89537,15.2407,14.49528,14.10611,13.79491,0.028871441
20.28813,18.56802,17.489,17.00606,16.66165,0.14964405
19.30415,17.52444,16.66241,16.27332,15.972,0.07136677
20.71089,18.75646,17.61351,17.13736,16.78664,0.17046815
19.08695,17.89131,17.3849,17.03786,16.83217,0.07240511
19.59588,17.99619,17.23265,16.77358,16.4788,0.08340777
20.64426,18.66106,17.63879,17.19452,16.84447,0.13188742
19.1485,18.02623,17.33027,16.97448,16.7255,0.13016036
18.77582,17.16199,16.30958,15.9181,15.58755,0.07440323
19.32965,18.02258,17.25988,16.86717,16.54741,0.12652825
19.06915,17.56012,16.74947,16.32072,15.97827,0.093122624
18.53848,17.55149,17.22215,16.99341,16.91883,0.042947993
20.98103,18.56503,17.43522,17.02024,16.73907,0.14915122
19.61958,18.18095,17.35113,16.93953,16.69633,0.12287551
19.86194,18.28669,17.35775,16.87781,16.50029,0.12098868
19.38681,17.78656,16.99213,16.54245,16.21423,0.09291931
18.87305,17.63607,17.13122,16.81394,16.6392,0.063919686
20.94652,18.82417,17.61409,17.13633,16.76513,0.17504463
20.78914,18.57717,17.45083,16.97484,16.58293,0.15379578
18.44114,16.48404,15.60847,15.19263,14.85938,0.05900972
20.02888,18.23965,16.954,16.45739,16.05887,0.1780411
20.54973,18.39926,17.25864,16.8287,16.4592,0.14799456
18.96655,17.26759,16.46104,16.00631,15.66955,0.081392586
18.65649,17.66722,17.30307,17.01756,16.89172,0.06286026
18.76578,17.79018,17.39747,17.10221,17.07787,0.060346108
20.34623,18.46941,17.3467,16.83628,16.41718,0.15746269
19.49214,18.33311,17.85687,17.54823,17.37338,0.07791008
19.06383,17.04354,16.10581,15.65336,15.30201,0.08987915
18.44427,17.07715,16.54139,16.26094,16.09173,0.043764472
19.66896,17.79779,16.74743,16.30202,15.94393,0.11596356
19.29697,17.94726,17.22719,16.82459,16.5335,0.110674135
19.24634,17.40768,16.46939,16.04038,15.68589,0.076221794
19.96785,17.99451,17.08267,16.68916,16.39949,0.08850167
18.04997,16.23194,15.35473,14.95239,14.65495,0.04938712
19.88011,18.55894,17.53772,17.08697,16.81503,0.1802874
20.11598,17.90957,16.68371,16.14397,15.74855,0.15656091
19.37093,17.37511,16.35686,15.92435,15.59515,0.09896691
19.01343,17.73114,17.10142,16.67082,16.42199,0.09184245
19.17593,17.78132,17.02637,16.67079,16.37488,0.09752497
20.50649,18.70327,17.65091,17.20706,16.85554,0.14329302
19.92699,18.48663,17.68438,17.25344,16.95259,0.10960609
20.06521,18.53693,17.67734,17.27237,16.99275,0.11948633
20.14017,18.72286,17.72125,17.21749,16.89828,0.17476203
20.10736,18.93497,17.66533,17.19354,16.85297,0.18635923
18.94305,17.20201,16.2112,15.73304,15.39691,0.0875204
20.14415,18.30601,17.31547,16.85162,16.43772,0.1215239
20.41484,18.67841,17.48168,16.9925,16.65009,0.18480125
19.27643,18.13194,17.45849,17.05381,16.81279,0.1047636
18.43375,17.5076,17.04255,16.66352,16.49968,0.05634768
17.12782,15.21997,14.35083,13.88373,13.52947,0.043352984
19.9157,18.16609,17.39077,17.02547,16.72211,0.079761654
20.74872,18.97893,17.67273,17.19168,16.76815,0.1891802
20.46011,18.7413,17.89239,17.37702,17.02978,0.13086869
19.9692,18.41469,17.71674,17.3476,17.11526,0.08891343
18.31263,17.13714,16.67274,16.4247,16.22697,0.044399243
19.82882,18.5546,17.7607,17.35011,17.06713,0.15370306
17.25287,16.18885,15.70473,15.38027,15.21096,0.038084157
19.70732,18.02409,17.21028,16.83722,16.63029,0.07851414
18.09772,16.78334,16.16006,15.84662,15.61409,0.060248185
20.12458,18.24943,17.14011,16.59286,16.08814,0.15492721
20.08775,18.67985,17.76185,17.22464,17.01883,0.16416378
18.8001,17.77946,17.21233,16.81767,16.62515,0.08614059
19.04118,17.55074,16.73537,16.32638,16.01054,0.09229673
18.06409,16.51821,15.72246,15.27079,14.95181,0.05623525
20.4351,18.62033,17.65834,17.18974,16.84948,0.12221533
19.28693,18.13023,17.33183,16.92306,16.69924,0.13998926
17.58788,16.10251,15.40505,15.03727,14.79265,0.04391182
18.54452,16.68846,15.79418,15.38848,15.09094,0.055928744
20.24274,18.49612,17.33846,16.90848,16.52687,0.15578306
20.52361,18.64476,17.62346,17.15829,16.78349,0.12933964
19.15672,17.81126,17.1699,16.78612,16.51709,0.093866445
19.11653,17.98316,17.40265,17.03933,16.8348,0.09011179
16.77551,15.52552,14.96053,14.62186,14.45727,0.034799043
18.92,17.55214,16.47039,16.08981,15.70288,0.11386178
20.36514,18.56983,17.59885,17.17743,16.86805,0.12035752
19.71241,17.98713,17.03799,16.61764,16.25563,0.10724653
17.30505,15.44258,14.56845,14.14891,13.8767,0.035576664
20.62899,18.57842,17.4314,16.96952,16.5692,0.15377338
20.64232,18.61265,17.55778,17.13027,16.78868,0.13094205
19.33913,18.12466,17.45762,17.03432,16.76893,0.10701084
20.59372,18.89984,17.66011,17.1409,16.79316,0.18655735
